Date,Country,Cumulative number of case(s),Number of deaths,Number recovered,type
5/10/2003,Canada,145,22,97,sars
5/10/2003,China,4884,235,1620,sars
5/10/2003,"Hong Kong SAR, China",1674,212,1035,sars
5/10/2003,"Macao SAR, China",1,0,0,sars
5/10/2003,"Taiwan, China",172,18,26,sars
5/10/2003,Colombia,1,0,1,sars
5/10/2003,Finland,1,0,0,sars
5/10/2003,France,7,0,4,sars
5/10/2003,Germany,9,0,9,sars
5/10/2003,India,1,0,0,sars
5/10/2003,Indonesia,2,0,1,sars
5/10/2003,Italy,9,0,9,sars
5/10/2003,Kuwait,1,0,1,sars
5/10/2003,Malaysia,7,2,4,sars
5/10/2003,Mongolia,9,0,6,sars
5/10/2003,New Zealand,1,0,1,sars
5/10/2003,Philippines,10,2,2,sars
5/10/2003,Poland,1,0,0,sars
5/10/2003,Republic of Ireland,1,0,1,sars
5/10/2003,Republic of Korea,1,0,1,sars
5/10/2003,Romania,1,0,1,sars
5/10/2003,Singapore,205,27,155,sars
5/10/2003,South Africa,1,1,0,sars
5/10/2003,Spain,1,0,1,sars
5/10/2003,Sweden,3,0,2,sars
5/10/2003,Switzerland,1,0,1,sars
5/10/2003,Thailand,7,2,5,sars
5/10/2003,United Kingdom,6,0,6,sars
5/10/2003,United States,64,0,34,sars
5/10/2003,Viet Nam,63,5,58,sars
5/12/2003,Brazil,2,0,2,sars
5/12/2003,Bulgaria,1,0,0,sars
5/12/2003,Canada,143,22,98,sars
5/12/2003,China,5013,252,1693,sars
5/12/2003,"Hong Kong SAR, China",1683,218,1066,sars
5/12/2003,"Macao SAR, China",1,0,0,sars
5/12/2003,"Taiwan, China",184,20,26,sars
5/12/2003,Colombia,1,0,1,sars
5/12/2003,Finland,1,0,0,sars
5/12/2003,France,7,0,4,sars
5/12/2003,Germany,9,0,9,sars
5/12/2003,India,1,0,0,sars
5/12/2003,Indonesia,2,0,1,sars
5/12/2003,Italy,9,0,8,sars
5/12/2003,Kuwait,1,0,1,sars
5/12/2003,Malaysia,7,2,4,sars
5/12/2003,Mongolia,9,0,6,sars
5/12/2003,New Zealand,1,0,1,sars
5/12/2003,Philippines,10,2,3,sars
5/12/2003,Poland,1,0,0,sars
5/12/2003,Republic of Ireland,1,0,1,sars
5/12/2003,Republic of Korea,2,0,1,sars
5/12/2003,Romania,1,0,1,sars
5/12/2003,Singapore,205,28,156,sars
5/12/2003,South Africa,1,1,0,sars
5/12/2003,Spain,1,0,1,sars
5/12/2003,Sweden,3,0,2,sars
5/12/2003,Switzerland,1,0,1,sars
5/12/2003,Thailand,7,2,5,sars
5/12/2003,United Kingdom,6,0,6,sars
5/12/2003,United States,64,0,34,sars
5/12/2003,Viet Nam,63,5,58,sars
5/13/2003,Brazil,2,0,2,sars
5/13/2003,Bulgaria,1,0,0,sars
5/13/2003,Canada,143,22,99,sars
5/13/2003,China,5086,262,1765,sars
5/13/2003,"Hong Kong SAR, China",1689,225,1090,sars
5/13/2003,"Macao SAR, China",1,0,0,sars
5/13/2003,"Taiwan, China",207,24,30,sars
5/13/2003,Colombia,1,0,1,sars
5/13/2003,Finland,1,0,0,sars
5/13/2003,France,7,0,4,sars
5/13/2003,Germany,9,0,9,sars
5/13/2003,India,3,0,0,sars
5/13/2003,Indonesia,2,0,1,sars
5/13/2003,Italy,9,0,9,sars
5/13/2003,Kuwait,1,0,1,sars
5/13/2003,Malaysia,7,2,4,sars
5/13/2003,Mongolia,9,0,6,sars
5/13/2003,New Zealand,1,0,1,sars
5/13/2003,Philippines,10,2,3,sars
5/13/2003,Republic of Ireland,1,0,1,sars
5/13/2003,Republic of Korea,2,0,1,sars
5/13/2003,Romania,1,0,1,sars
5/13/2003,Singapore,205,28,157,sars
5/13/2003,South Africa,1,1,0,sars
5/13/2003,Spain,1,0,1,sars
5/13/2003,Sweden,3,0,3,sars
5/13/2003,Switzerland,1,0,1,sars
5/13/2003,Thailand,7,2,5,sars
5/13/2003,United Kingdom,4,0,4,sars
5/13/2003,United States,64,0,35,sars
5/13/2003,Viet Nam,63,5,58,sars
5/14/2003,Brazil,2,0,2,sars
5/14/2003,Bulgaria,1,0,0,sars
5/14/2003,Canada,143,23,104,sars
5/14/2003,China,5124,267,1811,sars
5/14/2003,"Hong Kong SAR, China",1698,227,1128,sars
5/14/2003,"Macao SAR, China",1,0,0,sars
5/14/2003,"Taiwan, China",238,30,38,sars
5/14/2003,Colombia,1,0,1,sars
5/14/2003,Finland,1,0,0,sars
5/14/2003,France,7,0,4,sars
5/14/2003,Germany,9,0,9,sars
5/14/2003,India,3,0,0,sars
5/14/2003,Indonesia,2,0,2,sars
5/14/2003,Italy,9,0,9,sars
5/14/2003,Kuwait,1,0,1,sars
5/14/2003,Malaysia,7,2,5,sars
5/14/2003,Mongolia,9,0,6,sars
5/14/2003,New Zealand,1,0,1,sars
5/14/2003,Philippines,10,2,3,sars
5/14/2003,Republic of Ireland,1,0,1,sars
5/14/2003,Republic of Korea,3,0,1,sars
5/14/2003,Romania,1,0,1,sars
5/14/2003,Singapore,205,28,157,sars
5/14/2003,South Africa,1,1,0,sars
5/14/2003,Spain,1,0,1,sars
5/14/2003,Sweden,3,0,3,sars
5/14/2003,Switzerland,1,0,1,sars
5/14/2003,Thailand,8,2,5,sars
5/14/2003,United Kingdom,4,0,4,sars
5/14/2003,United States,64,0,35,sars
5/14/2003,Viet Nam,63,5,58,sars
5/15/2003,Brazil,2,0,2,sars
5/15/2003,Bulgaria,1,0,0,sars
5/15/2003,Canada,142,23,107,sars
5/15/2003,China,5163,271,1858,sars
5/15/2003,"Hong Kong SAR, China",1703,234,1160,sars
5/15/2003,"Macao SAR, China",1,0,0,sars
5/15/2003,"Taiwan, China",264,30,38,sars
5/15/2003,Colombia,1,0,1,sars
5/15/2003,Finland,1,0,0,sars
5/15/2003,France,7,0,4,sars
5/15/2003,Germany,9,0,9,sars
5/15/2003,India,3,0,3,sars
5/15/2003,Indonesia,2,0,2,sars
5/15/2003,Italy,9,0,9,sars
5/15/2003,Kuwait,1,0,1,sars
5/15/2003,Malaysia,7,2,5,sars
5/15/2003,Mongolia,9,0,7,sars
5/15/2003,New Zealand,1,0,1,sars
5/15/2003,Philippines,12,2,4,sars
5/15/2003,Republic of Ireland,1,0,1,sars
5/15/2003,Republic of Korea,3,0,1,sars
5/15/2003,Romania,1,0,1,sars
5/15/2003,Singapore,205,28,157,sars
5/15/2003,South Africa,1,1,0,sars
5/15/2003,Spain,1,0,1,sars
5/15/2003,Sweden,3,0,3,sars
5/15/2003,Switzerland,1,0,1,sars
5/15/2003,Thailand,8,2,5,sars
5/15/2003,United Kingdom,4,0,4,sars
5/15/2003,United States,64,0,35,sars
5/15/2003,Viet Nam,63,5,58,sars
5/16/2003,Brazil,2,0,2,sars
5/16/2003,Bulgaria,1,0,0,sars
5/16/2003,Canada,140,23,106,sars
5/16/2003,China,5191,275,1947,sars
5/16/2003,"Hong Kong SAR, China",1706,238,1171,sars
5/16/2003,"Macao SAR, China",1,0,0,sars
5/16/2003,"Taiwan, China",274,35,46,sars
5/16/2003,Colombia,1,0,1,sars
5/16/2003,Finland,1,0,0,sars
5/16/2003,France,7,0,4,sars
5/16/2003,Germany,9,0,9,sars
5/16/2003,India,3,0,3,sars
5/16/2003,Indonesia,2,0,2,sars
5/16/2003,Italy,9,0,9,sars
5/16/2003,Kuwait,1,0,1,sars
5/16/2003,Malaysia,7,2,5,sars
5/16/2003,Mongolia,9,0,7,sars
5/16/2003,New Zealand,1,0,1,sars
5/16/2003,Philippines,12,2,4,sars
5/16/2003,Republic of Ireland,1,0,1,sars
5/16/2003,Republic of Korea,3,0,1,sars
5/16/2003,Romania,1,0,1,sars
5/16/2003,Singapore,205,28,157,sars
5/16/2003,South Africa,1,1,0,sars
5/16/2003,Spain,1,0,1,sars
5/16/2003,Sweden,3,0,3,sars
5/16/2003,Switzerland,1,0,1,sars
5/16/2003,Thailand,8,2,5,sars
5/16/2003,United Kingdom,4,0,4,sars
5/16/2003,United States,65,0,34,sars
5/16/2003,Viet Nam,63,5,58,sars
5/17/2003,Brazil,2,0,2,sars
5/17/2003,Canada,140,23,106,sars
5/17/2003,China,5209,282,2009,sars
5/17/2003,"Hong Kong SAR, China",1710,243,1191,sars
5/17/2003,"Macao SAR, China",1,0,0,sars
5/17/2003,"Taiwan, China",274,35,46,sars
5/17/2003,Colombia,1,0,1,sars
5/17/2003,Finland,1,0,0,sars
5/17/2003,France,7,0,6,sars
5/17/2003,Germany,9,0,9,sars
5/17/2003,India,3,0,3,sars
5/17/2003,Indonesia,2,0,2,sars
5/17/2003,Italy,9,0,9,sars
5/17/2003,Kuwait,1,0,1,sars
5/17/2003,Malaysia,7,2,5,sars
5/17/2003,Mongolia,9,0,7,sars
5/17/2003,New Zealand,1,0,1,sars
5/17/2003,Philippines,12,2,4,sars
5/17/2003,Republic of Ireland,1,0,1,sars
5/17/2003,Republic of Korea,3,0,1,sars
5/17/2003,Romania,1,0,1,sars
5/17/2003,Singapore,205,28,157,sars
5/17/2003,South Africa,1,1,0,sars
5/17/2003,Spain,1,0,1,sars
5/17/2003,Sweden,3,0,3,sars
5/17/2003,Switzerland,1,0,1,sars
5/17/2003,Thailand,8,2,5,sars
5/17/2003,United Kingdom,4,0,4,sars
5/17/2003,United States,66,0,34,sars
5/17/2003,Viet Nam,63,5,58,sars
5/19/2003,Brazil,2,0,2,sars
5/19/2003,Canada,140,23,106,sars
5/19/2003,China,5236,289,2148,sars
5/19/2003,"Hong Kong SAR, China",1714,251,1213,sars
5/19/2003,"Macao SAR, China",1,0,0,sars
5/19/2003,"Taiwan, China",344,40,50,sars
5/19/2003,Colombia,1,0,1,sars
5/19/2003,Finland,1,0,0,sars
5/19/2003,France,7,0,6,sars
5/19/2003,Germany,9,0,9,sars
5/19/2003,India,3,0,3,sars
5/19/2003,Indonesia,2,0,2,sars
5/19/2003,Italy,9,0,9,sars
5/19/2003,Kuwait,1,0,1,sars
5/19/2003,Malaysia,7,2,5,sars
5/19/2003,Mongolia,9,0,8,sars
5/19/2003,New Zealand,1,0,1,sars
5/19/2003,Philippines,12,2,8,sars
5/19/2003,Republic of Ireland,1,0,1,sars
5/19/2003,Republic of Korea,3,0,1,sars
5/19/2003,Romania,1,0,1,sars
5/19/2003,Singapore,206,28,160,sars
5/19/2003,South Africa,1,1,0,sars
5/19/2003,Spain,1,0,1,sars
5/19/2003,Sweden,3,0,3,sars
5/19/2003,Switzerland,1,0,1,sars
5/19/2003,Thailand,8,2,5,sars
5/19/2003,United Kingdom,4,0,4,sars
5/19/2003,United States,67,0,34,sars
5/19/2003,Viet Nam,63,5,58,sars
5/20/2003,Brazil,2,0,2,sars
5/20/2003,Canada,140,23,106,sars
5/20/2003,China,5248,294,2254,sars
5/20/2003,"Hong Kong SAR, China",1718,253,1229,sars
5/20/2003,"Macao SAR, China",1,0,0,sars
5/20/2003,"Taiwan, China",383,52,63,sars
5/20/2003,Colombia,1,0,1,sars
5/20/2003,Finland,1,0,0,sars
5/20/2003,France,7,0,6,sars
5/20/2003,Germany,9,0,9,sars
5/20/2003,India,3,0,3,sars
5/20/2003,Indonesia,2,0,2,sars
5/20/2003,Italy,9,0,9,sars
5/20/2003,Kuwait,1,0,1,sars
5/20/2003,Malaysia,7,2,5,sars
5/20/2003,Mongolia,9,0,8,sars
5/20/2003,New Zealand,1,0,1,sars
5/20/2003,Philippines,12,2,8,sars
5/20/2003,Republic of Ireland,1,0,1,sars
5/20/2003,Republic of Korea,3,0,2,sars
5/20/2003,Romania,1,0,1,sars
5/20/2003,Singapore,206,28,161,sars
5/20/2003,South Africa,1,1,0,sars
5/20/2003,Spain,1,0,1,sars
5/20/2003,Sweden,3,0,3,sars
5/20/2003,Switzerland,1,0,1,sars
5/20/2003,Thailand,8,2,5,sars
5/20/2003,United Kingdom,4,0,4,sars
5/20/2003,United States,67,0,34,sars
5/20/2003,Viet Nam,63,5,58,sars
5/21/2003,Brazil,2,0,2,sars
5/21/2003,Canada,140,23,108,sars
5/21/2003,China,5249,296,2335,sars
5/21/2003,"Hong Kong SAR, China",1719,255,1237,sars
5/21/2003,"Macao SAR, China",1,0,0,sars
5/21/2003,"Taiwan, China",418,52,71,sars
5/21/2003,Colombia,1,0,1,sars
5/21/2003,Finland,1,0,1,sars
5/21/2003,France,7,0,6,sars
5/21/2003,Germany,9,0,9,sars
5/21/2003,India,3,0,3,sars
5/21/2003,Indonesia,2,0,2,sars
5/21/2003,Italy,9,0,9,sars
5/21/2003,Kuwait,1,0,1,sars
5/21/2003,Malaysia,8,2,5,sars
5/21/2003,Mongolia,9,0,8,sars
5/21/2003,New Zealand,1,0,1,sars
5/21/2003,Philippines,12,2,10,sars
5/21/2003,Republic of Ireland,1,0,1,sars
5/21/2003,Republic of Korea,3,0,2,sars
5/21/2003,Romania,1,0,1,sars
5/21/2003,Singapore,206,28,161,sars
5/21/2003,South Africa,1,1,0,sars
5/21/2003,Spain,1,0,1,sars
5/21/2003,Sweden,3,0,3,sars
5/21/2003,Switzerland,1,0,1,sars
5/21/2003,Thailand,8,2,5,sars
5/21/2003,United Kingdom,4,0,4,sars
5/21/2003,United States,66,0,33,sars
5/21/2003,Viet Nam,63,5,58,sars
5/22/2003,Australia,6,0,6,sars
5/22/2003,Brazil,2,0,2,sars
5/22/2003,Canada,140,23,109,sars
5/22/2003,China,5271,300,2445,sars
5/22/2003,"Hong Kong SAR, China",1722,258,1247,sars
5/22/2003,"Macao SAR, China",2,0,0,sars
5/22/2003,"Taiwan, China",483,60,74,sars
5/22/2003,Colombia,1,0,1,sars
5/22/2003,Finland,1,0,1,sars
5/22/2003,France,7,0,6,sars
5/22/2003,Germany,9,0,9,sars
5/22/2003,India,3,0,3,sars
5/22/2003,Indonesia,2,0,2,sars
5/22/2003,Italy,9,0,9,sars
5/22/2003,Kuwait,1,0,1,sars
5/22/2003,Malaysia,8,2,5,sars
5/22/2003,Mongolia,9,0,8,sars
5/22/2003,New Zealand,1,0,1,sars
5/22/2003,Philippines,12,2,10,sars
5/22/2003,Republic of Ireland,1,0,1,sars
5/22/2003,Republic of Korea,3,0,2,sars
5/22/2003,Romania,1,0,1,sars
5/22/2003,Singapore,206,29,162,sars
5/22/2003,South Africa,1,1,0,sars
5/22/2003,Spain,1,0,1,sars
5/22/2003,Sweden,3,0,3,sars
5/22/2003,Switzerland,1,0,1,sars
5/22/2003,Thailand,8,2,5,sars
5/22/2003,United Kingdom,4,0,4,sars
5/22/2003,United States,65,0,33,sars
5/22/2003,Viet Nam,63,5,58,sars
5/23/2003,Brazil,2,0,2,sars
5/23/2003,Canada,140,23,109,sars
5/23/2003,China,5285,303,2544,sars
5/23/2003,"Hong Kong SAR, China",1724,260,1255,sars
5/23/2003,"Macao SAR, China",2,0,0,sars
5/23/2003,"Taiwan, China",538,60,82,sars
5/23/2003,Colombia,1,0,1,sars
5/23/2003,Finland,1,0,1,sars
5/23/2003,France,7,0,6,sars
5/23/2003,Germany,9,0,9,sars
5/23/2003,India,3,0,3,sars
5/23/2003,Indonesia,2,0,2,sars
5/23/2003,Italy,9,0,9,sars
5/23/2003,Kuwait,1,0,1,sars
5/23/2003,Malaysia,8,2,5,sars
5/23/2003,Mongolia,9,0,8,sars
5/23/2003,New Zealand,1,0,1,sars
5/23/2003,Philippines,12,2,10,sars
5/23/2003,Republic of Ireland,1,0,1,sars
5/23/2003,Republic of Korea,3,0,2,sars
5/23/2003,Romania,1,0,1,sars
5/23/2003,Singapore,206,31,163,sars
5/23/2003,South Africa,1,1,0,sars
5/23/2003,Spain,1,0,1,sars
5/23/2003,Sweden,3,0,3,sars
5/23/2003,Switzerland,1,0,1,sars
5/23/2003,Thailand,8,2,5,sars
5/23/2003,United Kingdom,4,0,4,sars
5/23/2003,United States,65,0,33,sars
5/23/2003,Viet Nam,63,5,58,sars
5/24/2003,Brazil,2,0,2,sars
5/24/2003,Canada,140,23,109,sars
5/24/2003,China,5309,308,2675,sars
5/24/2003,"Hong Kong SAR, China",1724,262,1266,sars
5/24/2003,"Macao SAR, China",2,0,0,sars
5/24/2003,"Taiwan, China",538,60,82,sars
5/24/2003,Colombia,1,0,1,sars
5/24/2003,Finland,1,0,1,sars
5/24/2003,France,7,0,6,sars
5/24/2003,Germany,9,0,9,sars
5/24/2003,India,3,0,3,sars
5/24/2003,Indonesia,2,0,2,sars
5/24/2003,Italy,9,0,9,sars
5/24/2003,Kuwait,1,0,1,sars
5/24/2003,Malaysia,8,2,5,sars
5/24/2003,Mongolia,9,0,8,sars
5/24/2003,New Zealand,1,0,1,sars
5/24/2003,Philippines,12,2,10,sars
5/24/2003,Republic of Ireland,1,0,1,sars
5/24/2003,Republic of Korea,3,0,2,sars
5/24/2003,Romania,1,0,1,sars
5/24/2003,Singapore,206,31,163,sars
5/24/2003,South Africa,1,1,0,sars
5/24/2003,Spain,1,0,1,sars
5/24/2003,Sweden,3,0,3,sars
5/24/2003,Switzerland,1,0,1,sars
5/24/2003,Thailand,8,2,5,sars
5/24/2003,United Kingdom,4,0,4,sars
5/24/2003,United States,65,0,33,sars
5/24/2003,Viet Nam,63,5,58,sars
5/26/2003,Brazil,2,0,2,sars
5/26/2003,Canada,148,26,110,sars
5/26/2003,China,5316,317,2829,sars
5/26/2003,"Hong Kong SAR, China",1726,267,1276,sars
5/26/2003,"Macao SAR, China",2,0,0,sars
5/26/2003,"Taiwan, China",585,72,112,sars
5/26/2003,Colombia,1,0,1,sars
5/26/2003,Finland,1,0,1,sars
5/26/2003,France,7,0,6,sars
5/26/2003,Germany,9,0,9,sars
5/26/2003,India,3,0,3,sars
5/26/2003,Indonesia,2,0,2,sars
5/26/2003,Italy,9,0,9,sars
5/26/2003,Kuwait,1,0,1,sars
5/26/2003,Malaysia,5,2,3,sars
5/26/2003,Mongolia,9,0,8,sars
5/26/2003,New Zealand,1,0,1,sars
5/26/2003,Philippines,12,2,10,sars
5/26/2003,Republic of Ireland,1,0,1,sars
5/26/2003,Republic of Korea,3,0,2,sars
5/26/2003,Romania,1,0,1,sars
5/26/2003,Singapore,206,31,163,sars
5/26/2003,South Africa,1,1,0,sars
5/26/2003,Spain,1,0,1,sars
5/26/2003,Sweden,3,0,3,sars
5/26/2003,Switzerland,1,0,1,sars
5/26/2003,Thailand,8,2,6,sars
5/26/2003,United Kingdom,4,0,4,sars
5/26/2003,United States,65,0,33,sars
5/26/2003,Viet Nam,63,5,58,sars
5/27/2003,Brazil,2,0,2,sars
5/27/2003,Canada,148,26,111,sars
5/27/2003,China,5322,321,2944,sars
5/27/2003,"Hong Kong SAR, China",1728,269,1285,sars
5/27/2003,"Macao SAR, China",2,0,0,sars
5/27/2003,"Taiwan, China",596,76,112,sars
5/27/2003,Colombia,1,0,1,sars
5/27/2003,Finland,1,0,1,sars
5/27/2003,France,7,0,6,sars
5/27/2003,Germany,9,0,9,sars
5/27/2003,India,3,0,3,sars
5/27/2003,Indonesia,2,0,2,sars
5/27/2003,Italy,9,0,9,sars
5/27/2003,Kuwait,1,0,1,sars
5/27/2003,Malaysia,5,2,3,sars
5/27/2003,Mongolia,9,0,9,sars
5/27/2003,New Zealand,1,0,1,sars
5/27/2003,Philippines,12,2,10,sars
5/27/2003,Republic of Ireland,1,0,1,sars
5/27/2003,Republic of Korea,3,0,2,sars
5/27/2003,Romania,1,0,1,sars
5/27/2003,Singapore,206,31,163,sars
5/27/2003,South Africa,1,1,0,sars
5/27/2003,Spain,1,0,1,sars
5/27/2003,Sweden,3,0,3,sars
5/27/2003,Switzerland,1,0,1,sars
5/27/2003,Thailand,8,2,6,sars
5/27/2003,United Kingdom,4,0,4,sars
5/27/2003,United States,65,0,32,sars
5/27/2003,Viet Nam,63,5,58,sars
5/28/2003,Australia,6,0,6,sars
5/28/2003,Brazil,2,0,2,sars
5/28/2003,Canada,149,26,111,sars
5/28/2003,China,5323,325,3036,sars
5/28/2003,"Hong Kong SAR, China",1730,270,1295,sars
5/28/2003,"Macao SAR, China",2,0,0,sars
5/28/2003,"Taiwan, China",610,81,112,sars
5/28/2003,Colombia,1,0,1,sars
5/28/2003,Finland,1,0,1,sars
5/28/2003,France,7,0,6,sars
5/28/2003,Germany,9,0,9,sars
5/28/2003,India,3,0,3,sars
5/28/2003,Indonesia,2,0,2,sars
5/28/2003,Italy,9,0,9,sars
5/28/2003,Kuwait,1,0,1,sars
5/28/2003,Malaysia,5,2,3,sars
5/28/2003,Mongolia,9,0,9,sars
5/28/2003,New Zealand,1,0,1,sars
5/28/2003,Philippines,12,2,10,sars
5/28/2003,Republic of Ireland,1,0,1,sars
5/28/2003,Republic of Korea,3,0,2,sars
5/28/2003,Romania,1,0,1,sars
5/28/2003,Singapore,206,31,165,sars
5/28/2003,South Africa,1,1,0,sars
5/28/2003,Spain,1,0,1,sars
5/28/2003,Sweden,3,0,3,sars
5/28/2003,Switzerland,1,0,1,sars
5/28/2003,Thailand,8,2,6,sars
5/28/2003,United Kingdom,4,0,4,sars
5/28/2003,United States,66,0,32,sars
5/28/2003,Viet Nam,63,5,58,sars
5/29/2003,Australia,6,0,6,sars
5/29/2003,Brazil,2,0,2,sars
5/29/2003,Canada,151,26,112,sars
5/29/2003,China,5325,327,3121,sars
5/29/2003,"Hong Kong SAR, China",1732,273,1302,sars
5/29/2003,"Macao SAR, China",1,0,0,sars
5/29/2003,"Taiwan, China",660,81,122,sars
5/29/2003,Colombia,1,0,1,sars
5/29/2003,Finland,1,0,1,sars
5/29/2003,France,7,0,6,sars
5/29/2003,Germany,9,0,9,sars
5/29/2003,India,3,0,3,sars
5/29/2003,Indonesia,2,0,2,sars
5/29/2003,Italy,9,0,9,sars
5/29/2003,Kuwait,1,0,1,sars
